Financier Country,Recipient,Recipient Region,Commitment Year,Title,Flow Class,Sector Name,Funding Agencies,Amount in USD (nominal),Source URLs,District,Development Region,Province,Location,"Distance to closest border crossing in km (India: Banbasa, India - Kanchanpur District, Nepal;
    Rupaidiha, India - Banke District, Nepal;
    Sonauli, India - Rupandehi District, Nepal;
    Raxaul, India - Birgunj, Nepal (also known as the 'Gateway of Nepal');
    Bhitthamore,India - Mahottari District, Nepal;
    Jogbani, India - Biratnagar, Nepal;
    Panitanki, India - Kakarbhitta, Nepal) (China: Gyirong, China –Rasuwa, Nepal; Zhangmu, China – Kodari, Nepal)",Ethnicity,Population (in 1000),GDP (Value Added) Rs. in million (2013),HDI (2013),Government Expenditure by district in thousands (year 2013)
India,Nepal,Asia,2014,Small Development Projects (SDPs),ODA,MULTISECTOR,Indian Ministry of External Affairs,92152,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Taplejung,East,Nr 1,Dhankutā,"94,3",Limbu,114567,6802.8,0.494,823287.84
India,Nepal,Asia,2014,Small Development Projects (SDPs),ODA,MULTISECTOR,Indian Ministry of External Affairs,92152,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Solukhumbu,East,Nr 1,Sunsarī,"34,8",Chhetri,95894,7947.9,0.502,677837.68
India,Nepal,Asia,2014,Small Development Projects (SDPs),ODA,MULTISECTOR,Indian Ministry of External Affairs,92152,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Siraha,East,Madhesh,Taplejung,246,Yadav,568333,17784.3,0.408,1278517.43
India,Nepal,Asia,2014,Small Development Projects (SDPs),ODA,MULTISECTOR,Indian Ministry of External Affairs,92152,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Panchthar,East,Nr 1,Solukhumbū,291,Limbu,174563,8413.5,0.498,694785.35
India,Nepal,Asia,2014,Small Development Projects (SDPs),ODA,MULTISECTOR,Indian Ministry of External Affairs,92152,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Jhapa,East,Nr 1,Sirāhā,"72,1",Braham-Hill,743957,40370.2,0.518,1607563.34
India,Nepal,Asia,2014,Small Development Projects (SDPs),ODA,MULTISECTOR,Indian Ministry of External Affairs,92152,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Terhathum,East,Nr 1,Panchthar,146,Limbu,92466,5850.4,0.527,550802.81
India,Nepal,Asia,2014,Small Development Projects (SDPs),ODA,MULTISECTOR,Indian Ministry of External Affairs,92152,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Saptari,East,Madhesh,Morang,75,Yadav,576027,20822.9,0.437,1176585.68
India,Nepal,Asia,2014,Small Development Projects (SDPs),ODA,MULTISECTOR,Indian Ministry of External Affairs,92152,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Udayapur,East,Nr 1,Terhathum,174,Chhetri,286045,11841.7,0.475,1023984.27
India,Nepal,Asia,2014,Small Development Projects (SDPs),ODA,MULTISECTOR,Indian Ministry of External Affairs,92152,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Ilam,East,Nr 1,Saptarī,"90,7",Rai,269760,14852.2,0.562,983111.49
India,Nepal,Asia,2014,Small Development Projects (SDPs),ODA,MULTISECTOR,Indian Ministry of External Affairs,92152,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Doti,Far-Western,Sudurpashchim,Udayapur,"70,5",Chhetri,181144,6590.6,0.407,920395.42
India,Nepal,Asia,2014,Small Development Projects (SDPs),ODA,MULTISECTOR,Indian Ministry of External Affairs,92152,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Bajura,Far-Western,Sudurpashchim,Ilām,"86,6",Chhetri,115977,2851.5,0.363,864869.42
India,Nepal,Asia,2014,Small Development Projects (SDPs),ODA,MULTISECTOR,Indian Ministry of External Affairs,92152,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Darchaula,Far-Western,Sudurpashchim,Dotī,222,Chhetri,117150,57067.1,0.436,1192504.24
India,Nepal,Asia,2014,Small Development Projects (SDPs),ODA,MULTISECTOR,Indian Ministry of External Affairs,92152,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Dadeldhura,Far-Western,Sudurpashchim,Bājura,322,Chhetri,124926,4392.4,0.442,699484.03
India,Nepal,Asia,2014,Small Development Projects (SDPs),ODA,MULTISECTOR,Indian Ministry of External Affairs,92152,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Baitadi,Far-Western,Sudurpashchim,Dārchulā,215,Chhetri,218915,5821.3,0.416,1072715.08
India,Nepal,Asia,2014,Small Development Projects (SDPs),ODA,MULTISECTOR,Indian Ministry of External Affairs,92152,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Achham,Far-Western,Sudurpashchim,Dadeldhurā,171,Chhetri,221088,5513.8,0.378,1155077.47
India,Nepal,Asia,2014,Small Development Projects (SDPs),ODA,MULTISECTOR,Indian Ministry of External Affairs,92152,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Kailali,Far-Western,Sudurpashchim,Baitadī,225,Chhetri,701431,29569.9,0.460,1722666.23
India,Nepal,Asia,2014,Small Development Projects (SDPs),ODA,MULTISECTOR,Indian Ministry of External Affairs,92152,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Bajhang,Far-Western,Sudurpashchim,Achhām,266,Chhetri,167998,3816.6,0.365,1039780.52
India,Nepal,Asia,2014,Small Development Projects (SDPs),ODA,MULTISECTOR,Indian Ministry of External Affairs,92152,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Kanchanpur,Far-Western,Sudurpashchim,Kailālī,159,Chhetri,407283,17140.6,0.475,1255825.91
India,Nepal,Asia,2014,Small Development Projects (SDPs),ODA,MULTISECTOR,Indian Ministry of External Affairs,92152,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Rolpa,Mid-Western,Lumbini,Bajhang,294,Magar,195969,5779.0,0.395,897743.02
India,Nepal,Asia,2014,Small Development Projects (SDPs),ODA,MULTISECTOR,Indian Ministry of External Affairs,92152,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Dang,Mid-Western,Lumbini,Kanchanpur,36,Tharu,499109,25240.2,0.485,1277719.69
India,Nepal,Asia,2014,Small Development Projects (SDPs),ODA,MULTISECTOR,Indian Ministry of External Affairs,92152,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Kalikot,Mid-Western,Karnali,Rolpā,264,Chhetri,115305,3227.9,0.374,1054268.99
India,Nepal,Asia,2014,Small Development Projects (SDPs),ODA,MULTISECTOR,Indian Ministry of External Affairs,92152,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Humla,Mid-Western,Karnali,Birat,519,Chhetri,43462,1649.2,0.376,887928.53
India,Nepal,Asia,2014,Small Development Projects (SDPs),ODA,MULTISECTOR,Indian Ministry of External Affairs,92152,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Bardiya,Mid-Western,Lumbini,Kālīkot,281,Tharu,387623,18787.4,0.466,1423514.84
India,Nepal,Asia,2014,Small Development Projects (SDPs),ODA,MULTISECTOR,Indian Ministry of External Affairs,92152,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Dailekh,Mid-Western,Karnali,Humlā,517,Chhetri,226466,7266.7,0.422,1107389.18
India,Nepal,Asia,2014,Small Development Projects (SDPs),ODA,MULTISECTOR,Indian Ministry of External Affairs,92152,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Surkhet,Mid-Western,Karnali,Bardiyā,"76,2",Chhetri,311513,12925.0,0.476,1123184.04
India,Nepal,Asia,2014,Small Development Projects (SDPs),ODA,MULTISECTOR,Indian Ministry of External Affairs,92152,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Pyuthan,Mid-Western,Lumbini,Dailekh,195,Chhetri,198472,6191.9,0.413,828467.81
India,Nepal,Asia,2014,Small Development Projects (SDPs),ODA,MULTISECTOR,Indian Ministry of External Affairs,92152,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Rukum,Mid-Western,Lumbini,Surkhet,111,Magar,184251,6594.6,0.431,930523.26
India,Nepal,Asia,2014,Small Development Projects (SDPs),ODA,MULTISECTOR,Indian Ministry of External Affairs,92152,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Dolpa,Mid-Western,Karnali,Pyūthān,170,Chhetri,31805,1558.5,0.401,739882.87
India,Nepal,Asia,2014,Small Development Projects (SDPs),ODA,MULTISECTOR,Indian Ministry of External Affairs,92152,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Salyan,Mid-Western,Karnali,Rūkum,226,Chhetri,214815,7703.8,0.441,757993.25
India,Nepal,Asia,2014,Small Development Projects (SDPs),ODA,MULTISECTOR,Indian Ministry of External Affairs,92152,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Banke,Mid-Western,Lumbini,Dolpā,341,Musalman,442485,22619.6,0.475,1170702.97
India,Nepal,Asia,2014,Small Development Projects (SDPs),ODA,MULTISECTOR,Indian Ministry of External Affairs,92152,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Jumla,Mid-Western,Karnali,Salyān,222,Chhetri,93960,4474.9,0.409,1098165.44
India,Nepal,Asia,2014,Small Development Projects (SDPs),ODA,MULTISECTOR,Indian Ministry of External Affairs,92152,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Jajarkot,Mid-Western,Karnali,Bānke,27,Chhetri,146035,4255.4,0.393,952720.76
India,Nepal,Asia,2014,Small Development Projects (SDPs),ODA,MULTISECTOR,Indian Ministry of External Affairs,92152,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Mugu,Mid-Western,Karnali,Jumla,341,Chhetri,46669,1955.1,0.397,790854.14
India,Nepal,Asia,2014,Small Development Projects (SDPs),ODA,MULTISECTOR,Indian Ministry of External Affairs,92152,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Parbat,West,Gandaki,Jājarkot,341,Braham-Hill,99900,6004.5,0.501,706435.79
India,Nepal,Asia,2014,Small Development Projects (SDPs),ODA,MULTISECTOR,Indian Ministry of External Affairs,92152,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Kapilbastu,West,Lumbini,Mūgu,341,Musalman,508498,23002.8,0.432,1193584.51
India,Nepal,Asia,2014,Small Development Projects (SDPs),ODA,MULTISECTOR,Indian Ministry of External Affairs,92152,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Syangja,West,Gandaki,Parbat,180,Braham-Hill,265025,14179.9,0.527,1030016.67
India,Nepal,Asia,2014,Small Development Projects (SDPs),ODA,MULTISECTOR,Indian Ministry of External Affairs,92152,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Gorkha,West,Gandaki,Kapilbastū,"86,1",Gurung,247857,11419.7,0.481,1213795.62
India,Nepal,Asia,2014,Small Development Projects (SDPs),ODA,MULTISECTOR,Indian Ministry of External Affairs,92152,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Manang,West,Gandaki,Syāngjā,128,Gurung,6161,845.0,0.568,249362.33
India,Nepal,Asia,2014,Small Development Projects (SDPs),ODA,MULTISECTOR,Indian Ministry of External Affairs,92152,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Rupandehi,West,Lumbini,Gorkhā,200,Braham-Hill,800430,40138.8,0.498,1581064.43
India,Nepal,Asia,2014,Small Development Projects (SDPs),ODA,MULTISECTOR,Indian Ministry of External Affairs,92152,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Kaski,West,Gandaki,Manang,309,Braham-Hill,454992,31244.7,0.576,1414683.74
India,Nepal,Asia,2014,Small Development Projects (SDPs),ODA,MULTISECTOR,Indian Ministry of External Affairs,92152,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Myagdi,West,Gandaki,Rūpandehī,"13,7",Magar,101793,4721.8,0.490,682676.05
India,Nepal,Asia,2014,Small Development Projects (SDPs),ODA,MULTISECTOR,Indian Ministry of External Affairs,92152,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Nawalparasi,West,Lumbini,Kāskī,193,Braham-Hill,587898,30140.2,0.493,1257953.64
India,Nepal,Asia,2014,Small Development Projects (SDPs),ODA,MULTISECTOR,Indian Ministry of External Affairs,92152,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Arghakhanchi,West,Lumbini,Myāgdī,247,Braham-Hill,176838,7198.2,0.482,745493.69
India,Nepal,Asia,2014,Small Development Projects (SDPs),ODA,MULTISECTOR,Indian Ministry of External Affairs,92152,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Palpa,West,Lumbini,Nawalparāsī,"88,4",Magar,237191,10373.8,0.500,993634.04
India,Nepal,Asia,2014,Small Development Projects (SDPs),ODA,MULTISECTOR,Indian Ministry of External Affairs,92152,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Lamjung,West,Gandaki,Arghākhānchī,107,Gurung,153626,8057.9,0.507,876383.97
India,Nepal,Asia,2014,Small Development Projects (SDPs),ODA,MULTISECTOR,Indian Ministry of External Affairs,92152,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Gulmi,West,Lumbini,Pālpā,"70,1",Braham-Hill,252052,8418.2,0.464,1027363.76
India,Nepal,Asia,2014,Small Development Projects (SDPs),ODA,MULTISECTOR,Indian Ministry of External Affairs,92152,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Mustang,West,Gandaki,Lamjung,226,Gurung,12588,1055.0,0.508,331809.26
India,Nepal,Asia,2014,Small Development Projects (SDPs),ODA,MULTISECTOR,Indian Ministry of External Affairs,92152,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Tanahu,West,Gandaki,Gulmī,135,Magar,295611,14006.5,0.506,1095076.0
India,Nepal,Asia,2014,Small Development Projects (SDPs),ODA,MULTISECTOR,Indian Ministry of External Affairs,92152,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Baglung,West,Dhaulagiri,Mustang,288,Magar,241105,9397.1,0.478,1086761.66
India,Nepal,Asia,2014,Integrated Check Post (ICP),ODA,TRANSPORT AND STORAGE,Indian Ministry of External Affairs,2726550,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Parsa,Central,Madhesh,Tanahun,153,Musalman,533174,30004.6,0.464,1296319.53
India,Nepal,Asia,2014,Integrated Check Post (ICP),ODA,TRANSPORT AND STORAGE,Indian Ministry of External Affairs,2726550,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Morang,East,Nr 1,Bāglung,197,Braham-Hill,880229,49026.1,0.513,1713304.47
India,Nepal,Asia,2014,"Embankment construction on Lalbakaya, Bagmati, Kamla and Khando rivers. ",ODA,GENERAL ENVIRONMENTAL PROTECTION,Indian Ministry of External Affairs,959782,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Saptari,East,Madhesh,Birgunj,9,Yadav,576027,20822.9,0.437,1176585.68
India,Nepal,Asia,2009,"Nepal Police Academy, Police Training and modernisation",ODA,"GOVERNMENT AND CIVIL SOCIETY, GENERAL",Indian Ministry of External Affairs,642862,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Kathmandu,Central,Bagmati,Biratnagar,"6,3",Braham-Hill,1632640,196723.1,0.632,3983659.85
India,Nepal,Asia,2008,Development of road infrastructure in Terai region,ODA,TRANSPORT AND STORAGE,Indian Ministry of External Affairs,1203528,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Sarlahi,Central,Madhesh,Saptarī,"90,7",Yadav,682883,25341.1,0.402,1383283.57
India,Nepal,Asia,2008,Development of road infrastructure in Terai region,ODA,TRANSPORT AND STORAGE,Indian Ministry of External Affairs,1203528,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Bara,Central,Madhesh,National Police Academy,142,Musalman,609220,41527.0,0.457,1182728.5
India,Nepal,Asia,2008,Development of road infrastructure in Terai region,ODA,TRANSPORT AND STORAGE,Indian Ministry of External Affairs,1203528,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Nawalparasi,West,Gandaki,Madhubani,"66,9",Braham-Hill,587898,30140.2,0.493,1257953.64
India,Nepal,Asia,2008,Development of road infrastructure in Terai region,ODA,TRANSPORT AND STORAGE,Indian Ministry of External Affairs,1203528,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Mahottari,Central,Janakpur,Manmat,"17,1",Yadav,556271,17283.9,0.388,1178293.38
India,Nepal,Asia,2008,Development of road infrastructure in Terai region,ODA,TRANSPORT AND STORAGE,Indian Ministry of External Affairs,1203528,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Mahottari,Central,Janakpur,Nawalpur,240,Yadav,556271,17283.9,0.388,1178293.38
India,Nepal,Asia,2008,Development of road infrastructure in Terai region,ODA,TRANSPORT AND STORAGE,Indian Ministry of External Affairs,1203528,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Sarlahi,Central,Madhesh,Maithan,"60,8",Yadav,682883,25341.1,0.402,1383283.57
India,Nepal,Asia,2008,Development of road infrastructure in Terai region,ODA,TRANSPORT AND STORAGE,Indian Ministry of External Affairs,1203528,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Mahottari,Central,Madhesh,Samsi,"25,8",Yadav,556271,17283.9,0.388,1178293.38
India,Nepal,Asia,2008,Development of road infrastructure in Terai region,ODA,TRANSPORT AND STORAGE,Indian Ministry of External Affairs,1203528,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Sarlahi,Central,Janakpur,Malangwa,"45,3",Yadav,682883,25341.1,0.402,1383283.57
India,Nepal,Asia,2008,Development of road infrastructure in Terai region,ODA,TRANSPORT AND STORAGE,Indian Ministry of External Affairs,1203528,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Bhaktapur,Central,Bagmati,Jaleshwor,"3,8",Newar,284829,17142.0,0.573,885141.79
India,Nepal,Asia,2008,Development of road infrastructure in Terai region,ODA,TRANSPORT AND STORAGE,Indian Ministry of External Affairs,1203528,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Chitawan,Central,Bagmati,Barahathawa,"70,8",Braham-Hill,537183,36270.9,0.551,1383942.55
India,Nepal,Asia,2008,Development of road infrastructure in Terai region,ODA,TRANSPORT AND STORAGE,Indian Ministry of External Affairs,1203528,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Parsa,Central,Madhesh,Jatahi,"28,2",Musalman,533174,30004.6,0.464,1296319.53
India,Nepal,Asia,2008,Development of road infrastructure in Terai region,ODA,TRANSPORT AND STORAGE,Indian Ministry of External Affairs,1203528,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Siraha,East,Sagarmatha,Bhikhnā Thorī,"67,4",Yadav,568333,17784.3,0.408,1278517.43
India,Nepal,Asia,2008,Development of road infrastructure in Terai region,ODA,TRANSPORT AND STORAGE,Indian Ministry of External Affairs,1203528,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Bara,Central,Madhesh,Birgunj,9,Musalman,609220,41527.0,0.457,1182728.5
India,Nepal,Asia,2008,Development of road infrastructure in Terai region,ODA,TRANSPORT AND STORAGE,Indian Ministry of External Affairs,1203528,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Bara,Central,Madhesh,Nayā̃roḍ,"75,8",Musalman,609220,41527.0,0.457,1182728.5
India,Nepal,Asia,2008,Development of road infrastructure in Terai region,ODA,TRANSPORT AND STORAGE,Indian Ministry of External Affairs,1203528,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Mahottari,Central,Madhesh,Simraungadha,"23,4",Yadav,556271,17283.9,0.388,1178293.38
India,Nepal,Asia,2008,Development of road infrastructure in Terai region,ODA,TRANSPORT AND STORAGE,Indian Ministry of External Affairs,1203528,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Dhanusa,Central,Madhesh,Kalaiyā,"17,1",Yadav,679445,28727.1,0.431,1563106.91
India,Nepal,Asia,2008,Development of road infrastructure in Terai region,ODA,TRANSPORT AND STORAGE,Indian Ministry of External Affairs,1203528,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Dang,Mid-Western,Lumbini,Bhittamod,10,Tharu,499109,25240.2,0.485,1277719.69
India,Nepal,Asia,2008,Development of road infrastructure in Terai region,ODA,TRANSPORT AND STORAGE,Indian Ministry of External Affairs,1203528,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Bara,Central,Madhesh,Janakpur Dham,"21,3",Musalman,609220,41527.0,0.457,1182728.5
India,Nepal,Asia,2008,Development of road infrastructure in Terai region,ODA,TRANSPORT AND STORAGE,Indian Ministry of External Affairs,1203528,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Dhanusa,Central,Madhesh,Harri,"11,3",Yadav,679445,28727.1,0.431,1563106.91
India,Nepal,Asia,2008,Development of road infrastructure in Terai region,ODA,TRANSPORT AND STORAGE,Indian Ministry of External Affairs,1203528,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Sarlahi,Central,Madhesh,Tamagadhi,"44,1",Yadav,682883,25341.1,0.402,1383283.57
India,Nepal,Asia,2008,Development of road infrastructure in Terai region,ODA,TRANSPORT AND STORAGE,Indian Ministry of External Affairs,1203528,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Morang,East,Nr 1,Yadukoha,"38,6",Braham-Hill,880229,49026.1,0.513,1713304.47
India,Nepal,Asia,2008,Development of road infrastructure in Terai region,ODA,TRANSPORT AND STORAGE,Indian Ministry of External Affairs,1203528,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Morang,East,Nr 1,Mahinathpur Nikas,"67,4",Braham-Hill,880229,49026.1,0.513,1713304.47
India,Nepal,Asia,2008,Development of road infrastructure in Terai region,ODA,TRANSPORT AND STORAGE,Indian Ministry of External Affairs,1203528,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Siraha,East,Sagarmatha,Rangeli,"31,8",Yadav,568333,17784.3,0.408,1278517.43
India,Nepal,Asia,2008,Development of road infrastructure in Terai region,ODA,TRANSPORT AND STORAGE,Indian Ministry of External Affairs,1203528,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Siraha,East,Madhesh,Charali,"16,8",Yadav,568333,17784.3,0.408,1278517.43
India,Nepal,Asia,2008,Development of road infrastructure in Terai region,ODA,TRANSPORT AND STORAGE,Indian Ministry of External Affairs,1203528,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Morang,East,Nr 1,Kalyanpur Bajar,106,Braham-Hill,880229,49026.1,0.513,1713304.47
India,Nepal,Asia,2008,Development of road infrastructure in Terai region,ODA,TRANSPORT AND STORAGE,Indian Ministry of External Affairs,1203528,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Morang,East,Nr 1,Sirāhā,"72,1",Braham-Hill,880229,49026.1,0.513,1713304.47
India,Nepal,Asia,2008,Development of road infrastructure in Terai region,ODA,TRANSPORT AND STORAGE,Indian Ministry of External Affairs,1203528,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Jhapa,East,Nr 1,Chandra Garhi,"21,5",Braham-Hill,743957,40370.2,0.518,1607563.34
India,Nepal,Asia,2008,Development of road infrastructure in Terai region,ODA,TRANSPORT AND STORAGE,Indian Ministry of External Affairs,1203528,https://www.aiddata.org/data/indian-development-finance-dataset-version-1-0 | https://www.mea.gov.in/budget.htm?59/Budget,Kailali,Far-Western,Sudurpashchim,Kanepokhari,"40,8",Chhetri,701431,29569.9,0.460,1722666.23
