District,Zone,Geographical Region,Development Region,S.no,Const,Candidate Name,Party Name,Votes Secured,Remark,Total Votes,Percentage of Votes,Victory Margin,Cumulative Victory Margin (total),Cumulative Victory Margin (average),Seat share,,
Baglung,Dhawalagiri,Hill,West,183,3,Gyan Kumari Chhantyal ,Nepali Congress,10089,Elected,31050,"32,49%","6,05%",,,,,
Baglung,Dhawalagiri,Hill,West,183,3,Tulsiram Arial,Communist Party of Nepal (Maoists),8212,Not Elected,31050,"26,45%",,,,,,
Parbat,Dhawalagiri,Hill,West,184,1,Arjun Prasad Joshi ,Nepali Congress (NC),12838,Elected,34010,"37,75%","5,04%","-1,32%","-1,32%","0,5",,
Parbat,Dhawalagiri,Hill,West,184,1,Ganesh Prasad Timilsina,Communist Party of Nepal (UML),11123,Not Elected,34010,"32,71%",,,,,,
Parbat,Dhawalagiri,Hill,West,185,2,Bikash Lamsal ,Communist Party of Nepal (UML),11141,Elected,27639,"40,31%","3,72%",,,,,
Parbat,Dhawalagiri,Hill,West,185,2,Navraj-Guru,Nepali Congress (NC),10113,Not Elected,27639,"36,59%",,,,,,
Rukum,Rapti,Hill,Mid-Western,186,1,Ganeshman Pun ,Communist Party of Nepal (Maoists),18598,Elected,30750,"60,48%","40,41%","71,38%","35,69%",1,,
Rukum,Rapti,Hill,Mid-Western,186,1,Krishna Bahadur Rokay,Nepali Congress (NC),6173,Not Elected,30750,"20,07%",,,,,,
Rukum,Rapti,Hill,Mid-Western,187,2,Janardan Sharma,Communist Party of Nepal (Maoists),22575,Elected,40672,"55,51%","30,98%",,,,,
Rukum,Rapti,Hill,Mid-Western,187,2,Gopal Ji Jang Shah,Nepali Congress (NC),9976,Not Elected,40672,"24,53%",,,,,,
Rolpa,Rapti,Hill,Mid-Western,188,1,Krishna Bahadur Mohara ,Communist Party of Nepal (Maoists),11407,Elected,28842,"39,55%","10,39%","29,41%","14,71%",1,,
Rolpa,Rapti,Hill,Mid-Western,188,1,Lekh Nath Acha,Nepali Congress (NC),8409,Not Elected,28842,"29,16%",,,,,,
Rolpa,Rapti,Hill,Mid-Western,189,2,Onsari Gharti ,Communist Party of Nepal (Maoists),14964,Elected,35434,"42,23%","19,02%",,,,,
Rolpa,Rapti,Hill,Mid-Western,189,2,Bhim Kumari Alter,Nepali Congress (NC),8226,Not Elected,35434,"23,21%",,,,,,
Pyuthan,Rapti,Hill,Mid-Western,190,1,Bam Dev Gautam ,Communist Party of Nepal (UML),13962,Elected,37679,"37,06%","13,90%","18,99%","9,49%",1,,
Pyuthan,Rapti,Hill,Mid-Western,190,1,Krishna Bahadur Khadka,Nepali Congress (NC),8724,Not Elected,37679,"23,15%",,,,,,
Pyuthan,Rapti,Hill,Mid-Western,191,2,Hira Bahadur K.C. ,Communist Party of Nepal (UML),12798,Elected,43297,"29,56%","5,08%",,,,,
Pyuthan,Rapti,Hill,Mid-Western,191,2,Bom Bahadur Khatri,Nepali Congress (NC),10597,Not Elected,43297,"24,48%",,,,,,
Salyan,Rapti,Hill,Mid-Western,192,1,Tek Bahadur Basnet,Communist Party of Nepal (Maoists),15089,Elected,42157,"35,79%","8,64%","19,90%","9,95%",1,,
Salyan,Rapti,Hill,Mid-Western,192,1,Dhruv Raj Puri,Nepali Congress (NC),11448,Not Elected,42157,"27,16%",,,,,,
Salyan,Rapti,Hill,Mid-Western,193,2,Prakash Jwala ,Communist Party of Nepal (UML),14829,Elected,41661,"35,59%","11,26%",,,,,
Salyan,Rapti,Hill,Mid-Western,193,2,Delhi Raj Reggae,Nepali Congress (NC),10138,Not Elected,41661,"24,33%",,,,,,
Dang,Rapti,Terai,Mid-Western,194,1,Parbata D.C. Chaudhary ,Nepali Congress (NC),8719,Elected,35283,"24,71%","4,66%","-48,44%","-9,69%",0,,
Dang,Rapti,Terai,Mid-Western,194,1,Vati Raman Sharma Ghimire,Communist Party of Nepal (UML),7075,Not Elected,35283,"20,05%",,,,,,
Dang,Rapti,Terai,Mid-Western,195,2,Shushila Chaudhary ,Nepali Congress (NC),10430,Elected,32876,"31,73%","5,60%",,,,,
Dang,Rapti,Terai,Mid-Western,195,2,hom bahaadur pun,Communist Party of Nepal (Maoists),8590,Not Elected,32876,"26,13%",,,,,,
Dang,Rapti,Terai,Mid-Western,196,3,Raju Khanal ,Nepali Congress (NC),15048,Elected,36399,"41,34%","19,52%",,,,,
Dang,Rapti,Terai,Mid-Western,196,3,Laxman Acharya,Communist Party of Nepal (UML),7942,Not Elected,36399,"21,82%",,,,,,
Dang,Rapti,Terai,Mid-Western,197,4,Buddhi Ram Bhandari ,Nepali Congress (NC),14503,Elected,39420,"36,79%","6,84%",,,,,
Dang,Rapti,Terai,Mid-Western,197,4,Shankar Pokhrel,Communist Party of Nepal (UML),11806,Not Elected,39420,"29,95%",,,,,,
Dang,Rapti,Terai,Mid-Western,198,5,Dipak Giri ,Nepali Congress (NC),15358,Elected,37198,"41,29%","11,82%",,,,,
Dang,Rapti,Terai,Mid-Western,198,5,Uttar Kumar Wali,Communist Party of Nepal (UML),10963,Not Elected,37198,"29,47%",,,,,,
Dolpa,Karnali,Mountain,Mid-Western,199,1,Dhan Bahadur Budha ,Communist Party of Nepal (UML),6987,Elected,13299,"52,54%","45,21%","45,21%","45,21%",1,,
Dolpa,Karnali,Mountain,Mid-Western,199,1,Suresh Bahadur Shahi,Nepali Congress (NC),974,Not Elected,13299,"7,32%",,,,,,
Mugu,Karnali,Mountain,Mid-Western,200,1,Mohan Baniya ,Communist Party of Nepal (UML),8146,Elected,18308,"44,49%","10,35%","10,35%","10,35%",1,,
Mugu,Karnali,Mountain,Mid-Western,200,1,Ain Bahadur Shahi Thakur,Nepali Congress (NC),6252,Not Elected,18308,"34,15%",,,,,,
Jumla,Karnali,Mountain,Mid-Western,201,1,Lalit Janga Shahi ,Nepali Congress (NC),11866,Elected,39068,"30,37%","1,83%","-1,83%","-1,83%",0,,
Jumla,Karnali,Mountain,Mid-Western,201,1,Padam Bahadur Rokaya,Communist Party of Nepal (UML),11151,Not Elected,39068,"28,54%",,,,,,
Kalikot,Karnali,Mountain,Mid-Western,202,1,Mahendra Bahadur Shahi ,Communist Party of Nepal (Maoists),12088,Elected,41617,"29,05%","7,91%","7,91%","7,91%",1,,
Kalikot,Karnali,Mountain,Mid-Western,202,1,Bhupendra Shahi,Nepali Congress (NC),8797,Not Elected,41617,"21,14%",,,,,,
Humla,Karnali,Mountain,Mid-Western,203,1,Jeeban Bahadur Shahi ,Nepali Congress (NC),8332,Elected,18914,"44,05%","17,94%","-17,94%","-17,94%",0,,
Humla,Karnali,Mountain,Mid-Western,203,1,Dal Rawal,Communist Party of Nepal (UML),4939,Not Elected,18914,"26,11%",,,,,,
Jajarkot,Bheri,Hill,Mid-Western,204,1,Shakti Bahadur Basnet ,Communist Party of Nepal (Maoists),8073,Elected,27185,"29,70%","2,78%","1,69%","1,69%","0,5",,
Jajarkot,Bheri,Hill,Mid-Western,204,1,Pak Jung Schah,Nepali Congress (NC),7317,Not Elected,27185,"26,92%",,,,,,
Jajarkot,Bheri,Hill,Mid-Western,205,2,Rajib Bikram Shah ,Nepali Congress (NC),9357,Elected,26232,"35,67%","1,09%",,,,,
Jajarkot,Bheri,Hill,Mid-Western,205,2,Krishna Bahadur,Communist Party of Nepal (UML),9071,Not Elected,26232,"34,58%",,,,,,
Dailekh,Bheri,Hill,Mid-Western,206,1,Amar Bahadur Thapa ,Communist Party of Nepal (UML),15670,Elected,44180,"35,47%","8,55%","14,23%","7,11%",1,,
Dailekh,Bheri,Hill,Mid-Western,206,1,Ganesh Bahadur Khadka,Nepali Congress (NC),11894,Not Elected,44180,"26,92%",,,,,,
Dailekh,Bheri,Hill,Mid-Western,207,2,Laxmi Prasad Pokharel ,Communist Party of Nepal (UML),15619,Elected,44413,"35,17%","5,68%",,,,,
Dailekh,Bheri,Hill,Mid-Western,207,2,Bahadur Shahi,Nepali Congress (NC),13096,Not Elected,44413,"29,49%",,,,,,
Surkhet,Bheri,Hill,Mid-Western,208,1,Purna Bahadur Khadka ,Nepali Congress (NC),17301,Elected,38820,"44,57%","4,90%","-30,14%","-10,05%",0,,
Surkhet,Bheri,Hill,Mid-Western,208,1,Kamala Sharma,Communist Party of Nepal (UML),15398,Not Elected,38820,"39,67%",,,,,,
Surkhet,Bheri,Hill,Mid-Western,209,2,Ridayaram Thani ,Nepali Congress (NC),17419,Elected,46504,"37,46%","17,85%",,,,,
Surkhet,Bheri,Hill,Mid-Western,209,2,Jamlal Kandel,Communist Party of Nepal (UML),9118,Not Elected,46504,"19,61%",,,,,,
Surkhet,Bheri,Hill,Mid-Western,210,3,Tapta Bahadur Bista ,Nepali Congress (NC),14758,Elected,37516,"39,34%","7,39%",,,,,
Surkhet,Bheri,Hill,Mid-Western,210,3,Navraj Rawat,Communist Party of Nepal (UML),11986,Not Elected,37516,"31,95%",,,,,,
Banke,Bheri,Terai,Mid-Western,211,1,Amar Sharma Dev Raj Bhar ,Communist Party of Nepal (UML),13972,Elected,48768,"28,65%","3,16%","13,50%","-3,14%","0,75",,
Banke,Bheri,Terai,Mid-Western,211,1,Narayan Prasad Sharma Sigdel,Nepali Congress (NC),12429,Not Elected,48768,"25,49%",,,,,,
Banke,Bheri,Terai,Mid-Western,212,2,Dinesh Chandra Yadav ,Communist Party of Nepal (UML),12586,Elected,39169,"32,13%","11,92%",,,,,
Banke,Bheri,Terai,Mid-Western,212,2,Raj Kumar Kurmi,Nepali Congress (NC),7916,Not Elected,39169,"20,21%",,,,,,
Banke,Bheri,Terai,Mid-Western,213,3,Shusil Koirala ,Nepali Congress (NC),10753,Elected,40294,"26,69%","11,46%",,,,,
Banke,Bheri,Terai,Mid-Western,213,3,Damodar Acha,Communist Party of Nepal (Maoists),6135,Not Elected,40294,"15,23%",,,,,,
Banke,Bheri,Terai,Mid-Western,214,4,Dal Bahadur Sunar ,Communist Party of Nepal (UML),15180,Elected,44203,"34,34%","9,88%",,,,,
Banke,Bheri,Terai,Mid-Western,214,4,Krishna Man Shrestha,Nepali Congress (NC),10814,Not Elected,44203,"24,46%",,,,,,
Bardiya,Bheri,Terai,Mid-Western,215,1,Bam Dev Gautam ,Communist Party of Nepal (Maoists),18347,Elected,44910,"40,85%","21,71%","29,76%","7,92%","0,75",,
Bardiya,Bheri,Terai,Mid-Western,215,1,Bhuvneshwar Choudhary,Nepali Congress (NC),8598,Not Elected,44910,"19,14%",,,,,,
Bardiya,Bheri,Terai,Mid-Western,216,2,Sanjaya Kumar Guautam ,Nepali Congress (NC),11618,Elected,45979,"25,27%","2,99%",,,,,
Bardiya,Bheri,Terai,Mid-Western,216,2,Poorna Sharma,Communist Party of Nepal (UML),10242,Not Elected,45979,"22,28%",,,,,,
Bardiya,Bheri,Terai,Mid-Western,217,3,Santa Kumar Tharu ,Communist Party of Nepal (Maoists),14305,Elected,45102,"31,72%","9,14%",,,,,
Bardiya,Bheri,Terai,Mid-Western,217,3,Malti Sodari,Nepali Congress (NC),10184,Not Elected,45102,"22,58%",,,,,,
Bardiya,Bheri,Terai,Mid-Western,218,4,Man Bahadur Tharu ,Communist Party of Nepal (Maoists),14574,Elected,41224,"35,35%","1,90%",,,,,
Bardiya,Bheri,Terai,Mid-Western,218,4,Sher Singh Rathore,Nepali Congress (NC),13789,Not Elected,41224,"33,45%",,,,,,
Bajura,Seti,Mountain,Far-Western,219,1,Karna Bahadur Thapa ,Communist Party of Nepal (UML),22458,Elected,48662,"46,15%","8,90%","8,90%","8,90%",1,,
Bajura,Seti,Mountain,Far-Western,219,1,Bahadur Rawal,Nepali Congress (NC),18125,Not Elected,48662,"37,25%",,,,,,
Achham,Seti,Hill,Far-Western,220,1,Bhim Bahadur Rawal ,Communist Party of Nepal (UML),17725,Elected,43656,"40,60%","10,90%","13,73%","6,86%",1,,
Achham,Seti,Hill,Far-Western,220,1,Megh Raj Khadka,Nepali Congress (NC),12968,Not Elected,43656,"29,70%",,,,,,
Achham,Seti,Hill,Far-Western,221,2,Bharat Saud ,Communist Party of Nepal (UML),16664,Elected,41496,"40,16%","2,83%",,,,,
Achham,Seti,Hill,Far-Western,221,2,Bal Bahadur Kunwar,Nepali Congress (NC),15490,Not Elected,41496,"37,33%",,,,,,
Bajhang,Seti,Mountain,Far-Western,222,1,Man Prasad Khatri ,Communist Party of Nepal (UML),11530,Elected,32295,"35,70%","2,55%","4,05%","2,02%",1,,
Bajhang,Seti,Mountain,Far-Western,222,1,Arjunjung Bahadur Singh,Nepali Congress (NC),10708,Not Elected,32295,"33,16%",,,,,,
Bajhang,Seti,Mountain,Far-Western,223,2,Lal Bahadur Rawal ,Communist Party of Nepal (UML),10594,Elected,33117,"31,99%","1,50%",,,,,
Bajhang,Seti,Mountain,Far-Western,223,2,Naresh Bahadur Singh,Nepali Congress (NC),10096,Not Elected,33117,"30,49%",,,,,,
Doti,Seti,Hill,Far-Western,224,1,Bir Bahadur Balayar ,Nepali Congress (NC),16957,Elected,35333,"47,99%","24,65%","-20,03%","-20,03%","0,5",,
Doti,Seti,Hill,Far-Western,224,1,Narada Malasi,Communist Party of Nepal (UML),8247,Not Elected,35333,"23,34%",,,,,,
Doti,Seti,Hill,Far-Western,225,2,Prem Bahadur Aale ,Communist Party of Nepal (UML),12400,Elected,32136,"38,59%","4,62%",,,,,
Doti,Seti,Hill,Far-Western,225,2,Yogendra Bahadur Shahi,Nepali Congress (NC),10914,Not Elected,32136,"33,96%",,,,,,
Kailali,Seti,Terai,Far-Western,226,1,Janak Raj Chaudhary ,"Madhesi People's Rights Forum, Nepal",11294,Elected,40228,"28,07%","10,73%","-37,27%","-5,18%","0,33",,
Kailali,Seti,Terai,Far-Western,226,1,Prem Bahadur Saud,Communist Party of Nepal (UML),6977,Not Elected,40228,"17,34%",,,,,,
Kailali,Seti,Terai,Far-Western,227,2,Mohan Singh Rathaur ,Communist Party of Nepal (UML),11932,Elected,38638,"30,88%","9,15%",,,,,
Kailali,Seti,Terai,Far-Western,227,2,Kamal Bahadur Schah,Nepali Congress (NC),8396,Not Elected,38638,"21,73%",,,,,,
Kailali,Seti,Terai,Far-Western,228,3,Ram Janak Chaudhary ,"Madhesi People's Rights Forum, Nepal",11027,Elected,45012,"24,50%","8,81%",,,,,
Kailali,Seti,Terai,Far-Western,228,3,Sher Bahadur Choudhary,Communist Party of Nepal (Maoists),7063,Not Elected,45012,"15,69%",,,,,,
Kailali,Seti,Terai,Far-Western,229,4,Gauri Shankar Chaudhary ,Communist Party of Nepal (Maoists),11968,Elected,45407,"26,36%","7,40%",,,,,
Kailali,Seti,Terai,Far-Western,229,4,Khem Raj Dagoura Tharu,Nepali Congress (NC),8610,Not Elected,45407,"18,96%",,,,,,
Kailali,Seti,Terai,Far-Western,230,5,Dirga Raj Bhat ,Nepali Congress (NC),16346,Elected,43930,"37,21%","15,96%",,,,,
Kailali,Seti,Terai,Far-Western,230,5,Lekh Raj Bhatt,Communist Party of Nepal (Maoists),9334,Not Elected,43930,"21,25%",,,,,,
Kailali,Seti,Terai,Far-Western,231,6,Sher Bahadur Deuba ,Nepali Congress (NC),16489,Elected,43265,"38,11%","18,32%",,,,,
Kailali,Seti,Terai,Far-Western,231,6,Maheshwar Pathak,Communist Party of Nepal (UML),8563,Not Elected,43265,"19,79%",,,,,,
Darchaula,Mahakali,Mountain,Far-Western,232,1,Ganesh Singh Thagunna ,Communist Party of Nepal (UML),20470,Elected,52839,"38,74%","2,34%","2,34%","2,34%",1,,
Darchaula,Mahakali,Mountain,Far-Western,232,1,Dilendra Prasad Badu,Nepali Congress (NC),19236,Not Elected,52839,"36,40%",,,,,,
Baitadi,Mahakali,Hill,Far-Western,233,1,Damodar Bhandari ,Communist Party of Nepal (UML),11672,Elected,42164,"27,68%","2,35%","-13,65%","-6,82%","0,5",,
Baitadi,Mahakali,Hill,Far-Western,233,2,Lokraj Awasthi,Nepali Congress (NC),10680,Not Elected,42164,"25,33%",,,,,,
Baitadi,Mahakali,Hill,Far-Western,234,2,Nara Bahadur Chand ,Nepali Congress (NC),12466,Elected,37374,"33,35%","16,00%",,,,,
Baitadi,Mahakali,Hill,Far-Western,234,2,Mahadev Bhatt,Communist Party of Nepal (UML),6487,Not Elected,37374,"17,36%",,,,,,
Dadeldhura,Mahakali,Hill,Far-Western,235,1,Sher Bahadur Deuba,Nepali Congress (NC),23920,Elected,48832,"48,98%","23,40%","-23,40%","-23,40%",0,,
Dadeldhura,Mahakali,Hill,Far-Western,235,1,Khagraj Bhatt,Communist Party of Nepal (Maoists),12493,Not Elected,48832,"25,58%",,,,,,
Kanchanpur,Mahakali,Terai,Far-Western,236,1,Diwang Singh Bista ,Nepali Congress (NC),10294,Elected,37551,"27,41%","2,82%","-46,09%","-11,52%",0,,
Kanchanpur,Mahakali,Terai,Far-Western,236,1,Lal Bahadur Vishwakarma,Communist Party of Nepal (UML),9236,Not Elected,37551,"24,60%",,,,,,
Kanchanpur,Mahakali,Terai,Far-Western,237,2,Narayan Prakash Saud ,Nepali Congress (NC),13415,Elected,44550,"30,11%","8,39%",,,,,
Kanchanpur,Mahakali,Terai,Far-Western,237,2,Tara Lama Tama,Communist Party of Nepal (UML),9676,Not Elected,44550,"21,72%",,,,,,
Kanchanpur,Mahakali,Terai,Far-Western,238,3,Bahadur Singh Thapa ,Nepali Congress (NC),12836,Elected,35978,"35,68%","8,87%",,,,,
Kanchanpur,Mahakali,Terai,Far-Western,238,3,Nar Bahadur Dhami,Communist Party of Nepal (UML),9643,Not Elected,35978,"26,80%",,,,,,
Kanchanpur,Mahakali,Terai,Far-Western,239,4,Ramesh Lekhak ,Nepali Congress (NC),14023,Elected,33011,"42,48%","26,01%",,,,,
Kanchanpur,Mahakali,Terai,Far-Western,239,4,Mohan Giri,Communist Party of Nepal (Maoists),5437,Not Elected,33011,"16,47%",,,,,,
