District,Zone,Geographical Region,Development Region,S.no,Const,Candidate Name,Party Name,Total Votes,Remark,Total Votes,Percentage of Votes,Victory Margin,Cumulative Victory Margin (total),Cumulative Victory Margin (average),Seat share,
Baglung,Dhawalagiri,Hill,Western,183,3,Nara Bahadur Pun,Nepali Congress,11582,Elected,38677,"0,299454456","0,09491429",,,,
Baglung,Dhawalagiri,Hill,Western,183,3,Balawoti Sharma,Communist Party of Nepal (Maoists),7911,Not Elected,38677,"0,204540166",,,,,
Parbat,Dhawalagiri,Hill,Western,184,1,Arjun Prasad Joshi,Nepali Congress,13258,Elected,40960,"0,323681641","0,028710938","16,22%","16,22%","0,5",
Parbat,Dhawalagiri,Hill,Western,184,1,Mana Rupa Sharma Subedi,Communist Party of Nepal (Maoists),12082,Not Elected,40960,"0,294970703",,,,,
Parbat,Dhawalagiri,Hill,Western,185,2,Gunakhar Basyal,Communist Party of Nepal (Maoists),15678,Elected,38718,"0,40492794","0,190867297",,,,
Parbat,Dhawalagiri,Hill,Western,185,2,Giri Raj Gautam,Nepali Congress,8288,Not Elected,38718,"0,214060644",,,,,
Rukum,Rapti,Hill,Mid-Western,186,1,Jun Kumari Roka (Oli),Communist Party of Nepal (Maoists),31410,Elected,41515,"0,756594002","0,65988197","114,12%","57,06%",1,
Rukum,Rapti,Hill,Mid-Western,186,1,Keshar Man Rokka,Nepali Congress,4015,Not Elected,41515,"0,096712032",,,,,
Rukum,Rapti,Hill,Mid-Western,187,2,Janardan Sharma,Communist Party of Nepal (Maoists),30270,Elected,43673,"0,69310558","0,481304238",,,,
Rukum,Rapti,Hill,Mid-Western,187,2,Prem Prakash Oli,Nepali Congress,9250,Not Elected,43673,"0,211801342",,,,,
Rolpa,Rapti,Hill,Mid-Western,188,1,Jaypuri Gharti,Communist Party of Nepal (Maoists),26505,Elected,38727,"0,684406228","0,556691714","116,60%","58,30%",1,
Rolpa,Rapti,Hill,Mid-Western,188,1,Madhav Prasad Acharya,Nepali Congress,4946,Not Elected,38727,"0,127714514",,,,,
Rolpa,Rapti,Hill,Mid-Western,189,2,Puspa Kamal Dahal (Prachanda),Communist Party of Nepal (Maoists),34220,Elected,48141,"0,710828608","0,609293534",,,,
Rolpa,Rapti,Hill,Mid-Western,189,2,Bhim Kumari Budha (Magar),Nepali Congress,4888,Not Elected,48141,"0,101535074",,,,,
Pyuthan,Rapti,Hill,Mid-Western,190,1,Narayan Prasad Adhikari,Communist Party of Nepal (Maoists),13096,Elected,43725,"0,29950829","0,186872499","27,61%","13,80%",1,
Pyuthan,Rapti,Hill,Mid-Western,190,1,Diwakar Gautam,Nepali Congress,4925,Not Elected,43725,"0,112635792",,,,,
Pyuthan,Rapti,Hill,Mid-Western,191,2,Deepak Bahadur K.C.,Communist Party of Nepal (Maoists),12857,Elected,45629,"0,281772557","0,089219575",,,,
Pyuthan,Rapti,Hill,Mid-Western,191,2,Mukti Prasad Sharma,Nepali Congress,8786,Not Elected,45629,"0,192552982",,,,,
Salyan,Rapti,Hill,Mid-Western,192,1,Tek Bahadur Basnet,Communist Party of Nepal (Maoists),27421,Elected,50949,"0,538204872","0,383579658","53,38%","26,69%",1,
Salyan,Rapti,Hill,Mid-Western,192,1,Dhrub Raj Puri,Nepali Congress,7878,Not Elected,50949,"0,154625213",,,,,
Salyan,Rapti,Hill,Mid-Western,193,2,Uma Kant Sharma,Communist Party of Nepal (Maoists),17992,Elected,46593,"0,386152426","0,150215698",,,,
Salyan,Rapti,Hill,Mid-Western,193,2,Dilli Raj Regmi,Nepali Congress,10993,Not Elected,46593,"0,235936729",,,,,
Dang,Rapti,Terai,Mid-Western,194,1,Indra Jit Tharu,Communist Party of Nepal (Maoists),18093,Elected,42577,"0,424947742","0,18596895","89,03%","17,81%",1,
Dang,Rapti,Terai,Mid-Western,194,1,Khum Bahadur Khadka,Nepali Congress,10175,Not Elected,42577,"0,238978791",,,,,
Dang,Rapti,Terai,Mid-Western,195,2,Dama Kumari Sharma,Communist Party of Nepal (Maoists),20240,Elected,40025,"0,505683948","0,332542161",,,,
Dang,Rapti,Terai,Mid-Western,195,2,Krishna Kishor Ghimire (Sharma),Nepali Congress,6930,Not Elected,40025,"0,173141786",,,,,
Dang,Rapti,Terai,Mid-Western,196,3,Krishna Bahadur Mahara,Communist Party of Nepal (Maoists),20784,Elected,43689,"0,475726155","0,228249674",,,,
Dang,Rapti,Terai,Mid-Western,196,3,Anita Devkota,Nepali Congress,10812,Not Elected,43689,"0,247476481",,,,,
Dang,Rapti,Terai,Mid-Western,197,4,Shiv Raj Gautam,Communist Party of Nepal (Maoists),18854,Elected,45288,"0,416313372","0,109830419",,,,
Dang,Rapti,Terai,Mid-Western,197,4,Dilli Bahadur Chaudhari,Nepali Congress,13880,Not Elected,45288,"0,306482954",,,,,
Dang,Rapti,Terai,Mid-Western,198,5,Sushma Sharma Ghimire,Communist Party of Nepal (Maoists),17062,Elected,43883,"0,388806599","0,033680469",,,,
Dang,Rapti,Terai,Mid-Western,198,5,Dipak Giri,Nepali Congress,15584,Not Elected,43883,"0,355126131",,,,,
Dolpa,Karnali,Mountain,Mid-Western,199,1,Ram Bahadur Bohara,Communist Party of Nepal (Maoists),9723,Elected,17623,"0,551722181","0,357260398","35,73%","35,73%",1,
Dolpa,Karnali,Mountain,Mid-Western,199,1,Karna Bahadur Budha,Rastriya Janshakti Party (RPP),3427,Not Elected,17623,"0,194461783",,,,,
Mugu,Karnali,Mountain,Mid-Western,200,1,Nav Raj Dhami,Communist Party of Nepal (Maoists),10100,Elected,18808,"0,53700553","0,20693322","20,69%","20,69%",1,
Mugu,Karnali,Mountain,Mid-Western,200,1,Hasta Bahadur Malla,Nepali Congress,6208,Not Elected,18808,"0,33007231",,,,,
Jumla,Karnali,Mountain,Mid-Western,201,1,Naresh Bhandari,Communist Party of Nepal (Maoists),21127,Elected,44596,"0,47374204","0,267221275","26,72%","26,72%",1,
Jumla,Karnali,Mountain,Mid-Western,201,1,Din Bandhu Shrestha,Nepali Congress,9210,Not Elected,44596,"0,206520764",,,,,
Kalikot,Karnali,Mountain,Mid-Western,202,1,Khadga Bahadur Bishwakarma,Communist Party of Nepal (Maoists),27629,Elected,54209,"0,509675515","0,302311424","30,23%","30,23%",1,
Kalikot,Karnali,Mountain,Mid-Western,202,1,Hikmat Bahadur Bista,Nepali Congress,11241,Not Elected,54209,"0,207364091",,,,,
Humla,Karnali,Mountain,Mid-Western,203,1,Karn Jit Budhathoki,Communist Party of Nepal (Maoists),13318,Elected,24104,"0,552522403","0,336956522","33,70%","33,70%",1,
Humla,Karnali,Mountain,Mid-Western,203,1,Jeevan Bahadur Shahi,Nepali Congress,5196,Not Elected,24104,"0,215565881",,,,,
Jajarkot,Bheri,Hill,Mid-Western,204,1,Kali Bahadur Malla,Communist Party of Nepal (Maoists),19009,Elected,36504,"0,520737453","0,360809774","50,07%","50,07%","1,0",
Jajarkot,Bheri,Hill,Mid-Western,204,1,Chinta Kumari Wagle,Nepali Congress,5838,Not Elected,36504,"0,159927679",,,,,
Jajarkot,Bheri,Hill,Mid-Western,205,2,Bhakta Bahadur Shah,Communist Party of Nepal (Maoists),11938,Elected,31274,"0,381722837","0,139860587",,,,
Jajarkot,Bheri,Hill,Mid-Western,205,2,Yagya Bahadur Khatri,Nepali Congress,7564,Not Elected,31274,"0,24186225",,,,,
Dailekh,Bheri,Hill,Mid-Western,206,1,Ganesh Bahadur Khadka,Nepali Congress,16280,Elected,48243,"0,337458284","0,044130755","0,34%","0,34%",0.5,
Dailekh,Bheri,Hill,Mid-Western,206,1,Ammar Bahadur Thapa,Communist Party of Nepal (UML),14151,Not Elected,48243,"0,293327529",,,,,
Dailekh,Bheri,Hill,Mid-Western,207,2,Raj Bahadur Budha,Communist Party of Nepal (UML),16292,Elected,50763,"0,320942419","0,04757402",,,,
Dailekh,Bheri,Hill,Mid-Western,107,2,Him Bahadur Shahi,Nepali Congress,13877,Not Elected,50763,"0,273368398",,,,,
Surkhet,Bheri,Hill,Mid-Western,208,1,Kamala Sharma,Communist Party of Nepal (UML),18804,Elected,44966,"0,418182627","0,143864253","44,72%","14,91%",1,
Surkhet,Bheri,Hill,Mid-Western,208,1,Lal Bahadur Ghale,Nepali Congress,12335,Not Elected,44966,"0,274318374",,,,,
Surkhet,Bheri,Hill,Mid-Western,209,2,Yam Lal Kandel,Communist Party of Nepal (UML),16297,Elected,48431,"0,33649935","0,033119283",,,,
Surkhet,Bheri,Hill,Mid-Western,209,2,Hriday Ram Thani,Nepali Congress,14693,Not Elected,48431,"0,303380066",,,,,
Surkhet,Bheri,Hill,Mid-Western,210,3,Nara Bahadur Bista,Communist Party of Nepal (Maoists),17429,Elected,40429,"0,431101437","0,270226817",,,,
Surkhet,Bheri,Hill,Mid-Western,210,3,Shiv Raj Joshi,Nepali Congress,6504,Not Elected,40429,"0,16087462",,,,,
Banke,Bheri,Terai,Mid-Western,211,1,Tilak Pariyar,Communist Party of Nepal (Maoists),16087,Elected,45296,"0,355152773","0,167829389","-19,85%","-9,93%",0.5,
Banke,Bheri,Terai,Mid-Western,211,1,Gajendra Bahadur Hamal,Nepali Congress,8485,Not Elected,45296,"0,187323384",,,,,
Banke,Bheri,Terai,Mid-Western,212,2,Mohammad Estiyak Rai,"Madhesi People's Rights Forum, Nepal",19396,Elected,37567,"0,516304203","0,394787979",,,,
Banke,Bheri,Terai,Mid-Western,212,2,Dinesh Chandra Yadav,Communist Party of Nepal (UML),4565,Not Elected,37567,"0,121516224",,,,,
Banke,Bheri,Terai,Mid-Western,213,3,Sarbadev Prasad Ojha,"Madhesi People's Rights Forum, Nepal",14900,Elected,48453,"0,307514499","0,163663757",,,,
Banke,Bheri,Terai,Mid-Western,213,3,Parma Nanda Kurmi,Communist Party of Nepal (Maoists),6970,Not Elected,48453,"0,143850742",,,,,
Banke,Bheri,Terai,Mid-Western,214,4,Purna Kumari Subedi,Communist Party of Nepal (Maoists),13884,Elected,31441,"0,441589008","0,192105849",,,,
Banke,Bheri,Terai,Mid-Western,214,4,Krishna Man Shrestha,Nepali Congress,7844,Not Elected,31441,"0,249483159",,,,,
Bardiya,Bheri,Terai,Mid-Western,215,1,Sarala Regmi,Communist Party of Nepal (Maoists),17955,Elected,45460,"0,394962604","0,244698636","126,59%","31,65%","1,00",
Bardiya,Bheri,Terai,Mid-Western,215,1,Malati Sodari,Nepali Congress,6831,Not Elected,45460,"0,150263968",,,,,
Bardiya,Bheri,Terai,Mid-Western,216,2,Bishnu Prasad Chaudhari Tharu,Communist Party of Nepal (Maoists),17851,Elected,45022,"0,396495047","0,227577629",,,,
Bardiya,Bheri,Terai,Mid-Western,216,2,Sanjaya Kumar Gautam,Nepali Congress,7605,Not Elected,45022,"0,168917418",,,,,
Bardiya,Bheri,Terai,Mid-Western,217,3,Sant Kumar Tharu,Communist Party of Nepal (Maoists),23663,Elected,37169,"0,636632678","0,395383249",,,,
Bardiya,Bheri,Terai,Mid-Western,217,3,Parshu Ram Tharu,Nepali Congress,8967,Not Elected,37169,"0,241249428",,,,,
Bardiya,Bheri,Terai,Mid-Western,218,4,Ramcharan Chaudhari (Tharu),Communist Party of Nepal (Maoists),24444,Elected,42265,"0,578350881","0,398272803",,,,
Bardiya,Bheri,Terai,Mid-Western,218,4,Arun Prakash Singh Rathur,Nepali Congress,7611,Not Elected,42265,"0,180078079",,,,,
Bajura,Seti,Mountain,Far-Western,219,1,Dev Raj Joshi,Nepali Congress,19271,Elected,55395,"0,347883383","0,014477841","-1,45%","-1,45%",0,
Bajura,Seti,Mountain,Far-Western,219,1,Karn Bahadur Thapa,Communist Party of Nepal (UML),18469,Not Elected,55395,"0,333405542",,,,,
Achham,Seti,Hill,Far-Western,220,1,Sher Bahadur Kunwor,Communist Party of Nepal (UML),21631,Elected,54533,"0,396658904","0,149945904","29,69%","14,85%",1,
Achham,Seti,Hill,Far-Western,220,1,Gobinda Bahadur Shah,Nepali Congress,13454,Not Elected,54533,"0,246712999",,,,,
Achham,Seti,Hill,Far-Western,221,2,Sharad Singh Bhandari,Communist Party of Nepal (Maoists),17976,Elected,51263,"0,350662271","0,146967598",,,,
Achham,Seti,Hill,Far-Western,221,2,Ram B. Bista,Nepali Congress,10442,Not Elected,51263,"0,203694673",,,,,
Bajhang,Seti,Mountain,Far-Western,222,1,Bhanu Bhakta Joshi,Communist Party of Nepal (UML),13955,Elected,39795,"0,350672195","0,097072497","28,97%","14,49%",1,
Bajhang,Seti,Mountain,Far-Western,222,1,Arjun Jung B. Singh,Nepali Congress,10092,Not Elected,39795,"0,253599698",,,,,
Bajhang,Seti,Mountain,Far-Western,223,2,Shankar Bahadur Khadka,Communist Party of Nepal (Maoists),13895,Elected,33922,"0,409616178","0,192647839",,,,
Bajhang,Seti,Mountain,Far-Western,223,2,Satya Raj Bhandari,Nepali Congress,7360,Not Elected,33922,"0,216968339",,,,,
Doti,Seti,Hill,Far-Western,224,1,Harka Bahadur Singh,Communist Party of Nepal (UML),14506,Elected,40171,"0,361106271","0,035249309","14,72%","7,36%","1,0",
Doti,Seti,Hill,Far-Western,224,1,Bir Bahadur Balayar,Nepali Congress,13090,Not Elected,40171,"0,325856961",,,,,
Doti,Seti,Hill,Far-Western,225,2,Khem Bahadur Bum,Communist Party of Nepal (Maoists),10929,Elected,34629,"0,31560253","0,111987063",,,,
Doti,Seti,Hill,Far-Western,225,1,Siddha Raj Ojha,Nepali Congress,7051,Not Elected,34629,"0,203615467",,,,,
Kailali,Seti,Terai,Far-Western,226,1,Rupa So.Si. Chaudhari,Communist Party of Nepal (Maoists),21780,Elected,42659,"0,510560491","0,310954312","140,39%","23,40%","1,00",
Kailali,Seti,Terai,Far-Western,226,1,Fakir Singh Kadayat,Nepali Congress,8515,Not Elected,42659,"0,199606179",,,,,
Kailali,Seti,Terai,Far-Western,227,2,Bhagat Bahadur Baduwal,Communist Party of Nepal (Maoists),21219,Elected,45712,"0,464188834","0,250962548",,,,
Kailali,Seti,Terai,Far-Western,227,2,Tika Kumari Chaudhari,Nepali Congress,9747,Not Elected,45712,"0,213226286",,,,,
Kailali,Seti,Terai,Far-Western,228,3,Bir Man Chaudhari,Communist Party of Nepal (Maoists),19739,Elected,48632,"0,405885014","0,279918572",,,,
Kailali,Seti,Terai,Far-Western,228,3,Mohan Raj Malla,Rastriya Janshakti Party (RPP),6126,Not Elected,48632,"0,125966442",,,,,
Kailali,Seti,Terai,Far-Western,229,4,Krishna Kumar Chaudhari,Communist Party of Nepal (Maoists),27547,Elected,50497,"0,545517555","0,379824544",,,,
Kailali,Seti,Terai,Far-Western,229,4,Narayan Dutta Mishra,Nepali Congress,8367,Not Elected,50497,"0,165693011",,,,,
Kailali,Seti,Terai,Far-Western,230,5,Lekh Raj Bhatta,Communist Party of Nepal (Maoists),17979,Elected,43556,"0,412778951","0,099664799",,,,
Kailali,Seti,Terai,Far-Western,230,5,Dirgha Raj Bhat,Nepali Congress,13638,Not Elected,43556,"0,313114152",,,,,
Kailali,Seti,Terai,Far-Western,231,6,Lila Kumari Bhandari,Communist Party of Nepal (Maoists),14826,Elected,42870,"0,345836249","0,08262188",,,,
Kailali,Seti,Terai,Far-Western,231,6,Tek Bahadur Chokhal,Nepali Congress,11284,Not Elected,42870,"0,263214369",,,,,
Darchaula,Mahakali,Mountain,Far-Western,232,1,Laxman Dutta Joshi,Communist Party of Nepal (Maoists),25404,Elected,55317,"0,459243994","0,231483992","23,15%","23,15%",1,
Darchaula,Mahakali,Mountain,Far-Western,232,1,Dilendra Prasad Badu,Nepali Congress,12599,Not Elected,55317,"0,227760001",,,,,
Baitadi,Mahakali,Hill,Far-Western,233,1,Narendra Bahadur Kunwor,Communist Party of Nepal (Maoists),27130,Elected,46719,"0,580705923","0,47090049","80,38%","40,19%","1,0",
Baitadi,Mahakali,Hill,Far-Western,233,1,Narendra Bahadur Bum,Nepali Congress,5130,Not Elected,46719,"0,109805432",,,,,
Baitadi,Mahakali,Hill,Far-Western,234,2,Renu Chand (Bhatt),Communist Party of Nepal (Maoists),20021,Elected,41020,"0,488078986","0,332886397",,,,
Baitadi,Mahakali,Hill,Far-Western,234,2,Binaya Dhoj Chand,Nepali Congress,6366,Not Elected,41020,"0,155192589",,,,,
Dadeldhura,Mahakali,Hill,Far-Western,235,1,Sher Bahadur Deuba,Nepali Congress,20529,Elected,56717,"0,361954969","0,024119752","-2,41%","-2,41%",0,
Dadeldhura,Mahakali,Hill,Far-Western,235,1,Khag Raj Bhatt,Communist Party of Nepal (Maoists),19161,Not Elected,56717,"0,337835217",,,,,
Kanchanpur,Mahakali,Terai,Far-Western,236,1,Puran Rana Tharu,Communist Party of Nepal (Maoists),14765,Elected,41737,"0,353762848","0,071495316","36,64%","10,31%",0.75,
Kanchanpur,Mahakali,Terai,Far-Western,236,1,Amar Singh Rana,Nepali Congress,11781,Not Elected,41737,"0,282267532",,,,,
Kanchanpur,Mahakali,Terai,Far-Western,237,2,Devi Lal Chaudhari,Communist Party of Nepal (Maoists),18284,Elected,44625,"0,40972549","0,15870028",,,,
Kanchanpur,Mahakali,Terai,Far-Western,237,2,Narayan Prakash Saud,Nepali Congress,11202,Not Elected,44625,"0,25102521",,,,,
Kanchanpur,Mahakali,Terai,Far-Western,238,3,Tekendra Prasad Bhatt,Communist Party of Nepal (Maoists),15076,Elected,35223,"0,428015785","0,164750305",,,,
Kanchanpur,Mahakali,Terai,Far-Western,238,3,Bahadur Singh Thapa,Nepali Congress,9273,Not Elected,35223,"0,26326548",,,,,
Kanchanpur,Mahakali,Terai,Far-Western,239,4,Sher Bahadur Deuba,Nepali Congress,12824,Elected,36106,"0,355176425","0,028499418",,,,
Kanchanpur,Mahakali,Terai,Far-Western,239,4,Harish Thakulla (Kamal Chhetri),Communist Party of Nepal (Maoists),11795,Not Elected,36106,"0,326677007",,,,,
